Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,Volatility
2019-01-01,97.94431057641475,99.68637197474962,96.66227226829119,97.92873879339888,77376849,,,,0.0,
2019-01-02,100.9719343868447,101.14694813979798,99.76424218606692,100.02342968656605,66418585,,,,0.04699627003900275,
2019-01-03,101.43471610507073,101.89484657516225,98.42134369892588,100.68938668267003,50291389,,,,0.08053386277114782,
2019-01-04,97.64486002443903,99.45057699474107,95.31581631212119,97.77679725483385,94645875,,,,-0.011344195051805173,
2019-01-05,96.20218748186727,100.31099823099245,92.766255895902,96.71959675089678,76063270,,,,-0.10309897464799178,
2019-01-06,99.49507675208702,102.13995570589562,98.74856803528786,100.12246982509107,107155488,,,,-0.010809277541540041,
2019-01-07,94.58740543696074,96.75673813708191,92.90810160921299,95.36911133830493,50864845,,,,-0.16677195914478204,
2019-01-08,93.99622124263318,95.38352925094074,91.54778599336538,94.61128608059258,143442227,,,,-0.3047102777993018,
2019-01-09,97.12003116721392,99.20173204280884,95.00287464234304,97.24315859800365,83081854,,,,-0.26501689713765586,
2019-01-10,94.38942574448805,97.06859359214756,93.38599085612488,95.60967779347344,97397153,,,,-0.31714330757014864,
2019-01-11,94.79513408159218,94.5558196586357,93.69843908496092,94.35190549022933,67713046,,,,-0.4173715428044176,
2019-01-12,94.15398034735865,96.778574879618,91.30129559736648,94.26248755235555,129295647,,,,-0.4900874187462563,
2019-01-13,96.51038106750669,100.1215804287146,95.36891835286447,97.34526680460412,119105606,,,,-0.3633737131397936,
2019-01-14,95.52733313732598,98.70060338209215,91.86229647605717,96.16746281123483,64810534,,,46.5489025187465,-0.33206835992996275,
2019-01-15,96.21840900432383,99.21194103560128,92.1392595577068,95.37949889194269,126129349,,,45.154565340739914,-0.35098159330784995,
2019-01-16,95.51494962587724,97.02261486883691,93.10083724692146,94.61079634070566,84382983,,,39.165891386728255,-0.40754293717191103,
2019-01-17,101.51137778576266,100.81886943829566,97.7237518405898,99.12265650615657,138596774,,,47.28238856930828,-0.1664068289610583,
2019-01-18,104.16335152610603,106.1535511973618,102.87751441803083,103.59622868410415,53022436,,,59.5756910066865,0.30236540419649316,
2019-01-19,105.02873135221894,108.53900423694347,103.72310509722838,105.7043364798619,125143377,,,64.2898943920205,0.7941761870168875,
2019-01-20,105.85556349678981,108.49192433450752,103.5394453330723,106.57670927821161,145291014,98.16055008216189,,61.1638427063259,1.2205195159487658,
